Descricao;Preco;;
ABS ALWAYS NOITES TRANQUILAS SUAVE L8/P7;6,25;3,00;7506339394603
ABS ALWAYS PINK NOTURNO C/8UN;6,75;1,00;7506195129876
ABS ALWAYS SECA C/ABAS 8UN;3,99;16,00;7590002025314
ABS ALWAYS SECA PROT ACTIVE C/ABAS 8UN;4,86;5,00;7501065922724
ABS ALWAYS SUAVE BASICO C/ABAS C/8UN LV8 PG7;4,50;4,00;7506339394788
ABS ALWAYS SUAVE PINK C/ABAS 8UN;4,86;2,00;7506195129838
ABS INTIMUS DAYS PROTETOR DIARIO C/ABAS 15UN;3,55;4,00;7896007540266
ABS INTIMUS DAYS PROTETOR DIARIO S/ABAS 15UN;3,85;176,00;7896007540259
ABS INTIMUS DAYS PROTETOR DIARIO S/ABAS 40UN;8,59;17,00;7896007540525
ABS INTIMUS GEL C/ABAS SECA LEVE 9 PG 8;3,40;2,00;7896007547647
ABS INTIMUS GEL SUAVE C/ABAS C/8;3,30;290,00;7896007540617
ABS INTIMUS GEL SUAVE S/ ABAS C/8;3,30;5,00;7896007540600
ABS INTIMUS INTERNO MEDIO C/8UN;4,98;35,00;7896007541867
ABS INTIMUS INTERNO MINI C/8UN;7,55;10,00;7896007541850
ABS INTIMUS INTERNO SUPER C/8UN;7,55;5,00;7896007541874
ABS INTIMUS NOTURNO C/ ABAS SUAVE LEVE 9 PG 8UN;5,99;2,00;7896007547685
ABS INTIMUS NOTURNO SUAVE C/ABAS 8UN;5,45;37,00;7896007540662
ABS SEMPRE LIVRE ESPECIAL C/ABAS L8/P7;3,96;36,00;7891010973483
ABS SEMPRE LIVRE ESPECIAL NORMAL S/ABAS C/8UN;3,50;62,00;7891010808020
ABS SYM 360° C.SUAVE C/ABAS LV.16 PG.14;3,98;1,00;7896110008042
ABS SYM 360° C.SUAVE C/ABAS LV8 PG7;1,90;22,00;7896110007700
ABS SYM NOITE/DIA C.SUAVE C/ABAS LV8 PG7;2,70;13,00;7896110007892
AMACIANTE CONC DOWNY ELEGANCE 500ML;10,25;6,00;7506339396157
GEL HEDERA FIXADOR FLORAL 240G;3,99;8,00;7898556121064
LENÇO UMEDECIDO MONICA HUGGIES C/96 TOALHAS;16,80;1,00;7896018703070
LENÇOS INTIMUS UMEDECIDOS FEM C/16UN;4,75;6,00;7896018700536
PILHA PANASONIC HYPER GRANDE (D) C/2UN;4,35;116,00;233
ACHOCOLATADO PO CASAREDO YUPI 400G;3,75;7,00;7896408436014
ACHOCOLATADO QUALIMAX 400G;3,75;13,00;7891122109992
CACAU EM PO VIDA & SAUDE 250G;19,95;1,00;7898921864183
CHOCOLATE PO ALBER 400G;4,59;13,00;7896414601406
CHOCOLATE PO DR.OETKER DE CORAÇAO 200G;5,99;2,00;7891048000090
LEITE EM PO ELEGE DESNATADO 400G;9,95;7,00;7896079510372
